Player,group,Mat,Inns,NO,Runs,HS,Ave,BF,value,lastValue,Hundreds,Fifties,Ducks,year,Player_mod,rank
Tamim Iqbal,BDESH,23,23,0,776,125,33.73,807,96.15,79,1,5,2,2010,Tamim Iqbal (BDESH),9
Tamim Iqbal,BDESH,20,20,1,475,70,25,609,77.99,96.15,0,3,4,2011,Tamim Iqbal (BDESH),24
Tamim Iqbal,BDESH,9,9,0,347,70,38.55,419,82.81,77.99,0,5,0,2012,Tamim Iqbal (BDESH),12
Taufeeq Umar,PAK,4,4,0,152,76,38,232,65.51,65.51,0,2,0,2002,Taufeeq Umar (PAK),31
Taufeeq Umar,PAK,11,11,1,246,81,24.6,469,52.45,65.51,0,1,0,2003,Taufeeq Umar (PAK),34
TC Bastiampillai,CAN,5,5,0,79,33,15.8,109,72.47,72.47,0,0,0,2010,TC Bastiampillai (CAN),37
TD Paine,AUS,14,14,0,418,111,29.85,572,73.07,73.07,1,3,1,2009,TD Paine (AUS),36
TD Paine,AUS,9,9,0,278,81,30.88,445,62.47,73.07,0,2,0,2010,TD Paine (AUS),49
TM Dilshan,SL,19,19,1,1000,160,55.55,969,103.19,103.19,4,2,1,2009,TM Dilshan (SL),5
TM Dilshan,SL,20,20,2,921,110,51.16,931,98.92,103.19,3,4,1,2010,TM Dilshan (SL),6
TM Dilshan,SL,26,26,1,814,144,32.56,944,86.22,98.92,2,4,1,2011,TM Dilshan (SL),17
TM Dilshan,SL,31,30,3,1119,160,41.44,1322,84.64,86.22,4,3,3,2012,TM Dilshan (SL),8
TN de Grooth,NL,4,3,0,132,97,44,129,102.32,102.32,0,1,0,2007,TN de Grooth (NL),7
TN Madondo,ZIM,2,2,0,103,71,51.5,131,78.62,78.62,0,1,0,2000,TN Madondo (ZIM),12
V Kohli,INDIA,5,5,0,159,54,31.8,239,66.52,66.52,0,1,0,2008,V Kohli (INDIA),32
V Rathour,INDIA,6,6,0,159,54,26.5,278,57.19,57.19,0,2,0,1996,V Rathour (INDIA),29
V Sehwag,INDIA,6,6,1,219,100,43.8,213,102.81,102.81,1,1,1,2001,V Sehwag (INDIA),2
V Sehwag,INDIA,28,28,3,1096,126,43.84,1029,106.51,102.81,3,5,3,2002,V Sehwag (INDIA),1
V Sehwag,INDIA,25,25,0,861,130,34.44,1008,85.41,106.51,2,3,2,2003,V Sehwag (INDIA),8
V Sehwag,INDIA,25,24,0,633,90,26.37,695,91.07,85.41,0,5,3,2004,V Sehwag (INDIA),4
V Sehwag,INDIA,29,29,0,861,108,29.68,823,104.61,91.07,1,2,0,2005,V Sehwag (INDIA),3
V Sehwag,INDIA,20,20,0,590,97,29.5,687,85.88,104.61,0,5,1,2006,V Sehwag (INDIA),9
V Sehwag,INDIA,8,8,0,216,52,27,194,111.34,85.88,0,1,0,2007,V Sehwag (INDIA),4
V Sehwag,INDIA,18,18,0,893,119,49.61,744,120.02,111.34,1,8,0,2008,V Sehwag (INDIA),2
V Sehwag,INDIA,20,19,1,810,146,45,593,136.59,120.02,3,2,0,2009,V Sehwag (INDIA),1
V Sehwag,INDIA,12,12,1,446,110,40.54,410,108.78,136.59,1,1,0,2010,V Sehwag (INDIA),2
V Sehwag,INDIA,12,12,0,645,219,53.75,524,123.09,108.78,2,1,2,2011,V Sehwag (INDIA),1
V Sehwag,INDIA,10,10,0,217,96,21.7,216,100.46,123.09,0,1,1,2012,V Sehwag (INDIA),2
V Sibanda,ZIM,5,5,0,84,58,16.8,193,43.52,43.52,0,1,1,2003,V Sibanda (ZIM),41
V Sibanda,ZIM,8,7,0,32,12,4.57,98,32.65,43.52,0,0,3,2004,V Sibanda (ZIM),37
V Sibanda,ZIM,12,12,1,438,116,39.81,644,68.01,32.65,1,2,1,2006,V Sibanda (ZIM),29
V Sibanda,ZIM,16,16,1,545,96,36.33,788,69.16,68.01,0,4,1,2007,V Sibanda (ZIM),33
V Sibanda,ZIM,10,10,0,159,59,15.9,255,62.35,69.16,0,1,0,2008,V Sibanda (ZIM),39
V Sibanda,ZIM,10,10,0,172,77,17.2,330,52.12,62.35,0,1,2,2009,V Sibanda (ZIM),52
V Sibanda,ZIM,5,5,0,119,95,23.8,240,49.58,52.12,0,1,1,2010,V Sibanda (ZIM),52
V Sibanda,ZIM,11,11,0,412,96,37.45,554,74.36,49.58,0,4,1,2011,V Sibanda (ZIM),33
VS Solanki,ENG,13,13,1,277,106,23.08,349,79.36,79.36,1,1,1,2003,VS Solanki (ENG),12
VS Solanki,ENG,10,10,0,349,100,34.9,464,75.21,79.36,1,2,0,2004,VS Solanki (ENG),12
W Barresi,NL,8,8,0,169,44,21.12,264,64.01,64.01,0,0,1,2011,W Barresi (NL),39
Wajahatullah Wasti,PAK,11,11,0,273,84,24.81,530,51.5,51.5,0,1,1,1999,Wajahatullah Wasti (PAK),34
WS Jayantha,SL,10,10,2,215,74,26.87,266,80.82,80.82,0,1,2,2004,WS Jayantha (SL),8
WTS Porterfield,IRE,18,18,2,555,112,34.68,933,59.48,59.48,2,2,2,2007,WTS Porterfield (IRE),47
WTS Porterfield,IRE,9,9,0,122,41,13.55,211,57.81,59.48,0,0,0,2008,WTS Porterfield (IRE),42
